Epoch: [0][0/68], lr: 0.00200	Loss 3.0222 (3.0222)	Prec@1 8.594 (8.594)	Prec@5 29.688 (29.688)
Epoch: [0][10/68], lr: 0.00200	Loss 2.6907 (2.3862)	Prec@1 28.125 (24.929)	Prec@5 67.188 (73.793)
Epoch: [0][20/68], lr: 0.00200	Loss 2.0106 (2.2484)	Prec@1 23.438 (27.865)	Prec@5 85.938 (75.781)
Epoch: [0][30/68], lr: 0.00200	Loss 1.9194 (2.1761)	Prec@1 39.062 (30.141)	Prec@5 73.438 (76.411)
Epoch: [0][40/68], lr: 0.00200	Loss 1.8816 (2.1142)	Prec@1 39.062 (31.536)	Prec@5 78.906 (77.077)
Epoch: [0][50/68], lr: 0.00200	Loss 1.9423 (2.0780)	Prec@1 41.406 (32.629)	Prec@5 76.562 (77.298)
Epoch: [0][60/68], lr: 0.00200	Loss 1.8220 (2.0410)	Prec@1 42.969 (34.042)	Prec@5 83.594 (77.830)
Epoch [0] Training Results: Prec@1 34.638 Prec@5 78.086             Loss 2.02613
Epoch [0] Training Class Recall: [0.753,0.379,0.187,0.017,0.023,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/68], lr: 0.00400	Loss 1.8939 (1.8939)	Prec@1 35.156 (35.156)	Prec@5 81.250 (81.250)
Epoch: [1][10/68], lr: 0.00400	Loss 2.0178 (1.9272)	Prec@1 35.156 (38.281)	Prec@5 79.688 (77.415)
Epoch: [1][20/68], lr: 0.00400	Loss 1.8063 (1.9220)	Prec@1 46.875 (38.504)	Prec@5 78.906 (78.757)
Epoch: [1][30/68], lr: 0.00400	Loss 1.9633 (1.9068)	Prec@1 45.312 (38.760)	Prec@5 71.094 (79.511)
Epoch: [1][40/68], lr: 0.00400	Loss 1.7611 (1.9054)	Prec@1 44.531 (39.158)	Prec@5 84.375 (79.554)
Epoch: [1][50/68], lr: 0.00400	Loss 1.6489 (1.8897)	Prec@1 50.000 (40.058)	Prec@5 87.500 (80.009)
Epoch: [1][60/68], lr: 0.00400	Loss 1.8205 (1.8823)	Prec@1 48.438 (40.638)	Prec@5 83.594 (80.277)
Epoch [1] Training Results: Prec@1 40.742 Prec@5 80.263             Loss 1.87808
Epoch [1] Training Class Recall: [0.758,0.567,0.341,0.036,0.016,0.002,0.000,0.000,0.000,0.000]

Epoch: [2][0/68], lr: 0.00600	Loss 1.9015 (1.9015)	Prec@1 37.500 (37.500)	Prec@5 80.469 (80.469)
Epoch: [2][10/68], lr: 0.00600	Loss 1.9553 (1.8725)	Prec@1 37.500 (39.347)	Prec@5 76.562 (81.250)
Epoch: [2][20/68], lr: 0.00600	Loss 1.9626 (1.8488)	Prec@1 35.156 (41.071)	Prec@5 78.906 (81.176)
Epoch: [2][30/68], lr: 0.00600	Loss 1.8294 (1.8355)	Prec@1 41.406 (41.356)	Prec@5 84.375 (81.830)
Epoch: [2][40/68], lr: 0.00600	Loss 1.7936 (1.8314)	Prec@1 44.531 (41.959)	Prec@5 81.250 (81.517)
Epoch: [2][50/68], lr: 0.00600	Loss 1.8943 (1.8316)	Prec@1 41.406 (42.310)	Prec@5 79.688 (81.449)
Epoch: [2][60/68], lr: 0.00600	Loss 1.9507 (1.8410)	Prec@1 36.719 (41.534)	Prec@5 76.562 (81.032)
Epoch [2] Training Results: Prec@1 41.605 Prec@5 81.023             Loss 1.84037
Epoch [2] Training Class Recall: [0.794,0.585,0.261,0.070,0.030,0.000,0.000,0.000,0.000,0.000]

Epoch: [3][0/68], lr: 0.00800	Loss 1.6712 (1.6712)	Prec@1 52.344 (52.344)	Prec@5 86.719 (86.719)
Epoch: [3][10/68], lr: 0.00800	Loss 1.6776 (1.8144)	Prec@1 50.000 (44.602)	Prec@5 88.281 (81.605)
Epoch: [3][20/68], lr: 0.00800	Loss 1.8293 (1.8180)	Prec@1 39.844 (44.159)	Prec@5 79.688 (81.585)
Epoch: [3][30/68], lr: 0.00800	Loss 1.7221 (1.7965)	Prec@1 42.969 (44.204)	Prec@5 85.156 (81.830)
Epoch: [3][40/68], lr: 0.00800	Loss 1.7801 (1.8014)	Prec@1 42.969 (44.398)	Prec@5 82.812 (81.784)
Epoch: [3][50/68], lr: 0.00800	Loss 1.8189 (1.8016)	Prec@1 45.312 (44.179)	Prec@5 82.031 (81.541)
Epoch: [3][60/68], lr: 0.00800	Loss 1.9540 (1.8165)	Prec@1 41.406 (43.532)	Prec@5 78.906 (81.506)
Epoch [3] Training Results: Prec@1 43.747 Prec@5 81.460             Loss 1.81811
Epoch [3] Training Class Recall: [0.803,0.632,0.360,0.049,0.000,0.000,0.000,0.000,0.000,0.000]

Epoch: [4][0/68], lr: 0.01000	Loss 1.6913 (1.6913)	Prec@1 46.094 (46.094)	Prec@5 85.156 (85.156)
Epoch: [4][10/68], lr: 0.01000	Loss 1.6241 (1.7772)	Prec@1 51.562 (45.739)	Prec@5 85.156 (80.682)
Epoch: [4][20/68], lr: 0.01000	Loss 1.8544 (1.7730)	Prec@1 42.188 (46.019)	Prec@5 82.031 (80.915)
Epoch: [4][30/68], lr: 0.01000	Loss 1.9260 (1.7815)	Prec@1 41.406 (45.565)	Prec@5 79.688 (81.149)
Epoch: [4][40/68], lr: 0.01000	Loss 1.9110 (1.7895)	Prec@1 42.188 (45.198)	Prec@5 78.125 (80.907)
Epoch: [4][50/68], lr: 0.01000	Loss 1.7678 (1.7873)	Prec@1 42.188 (45.221)	Prec@5 83.594 (81.419)
Epoch: [4][60/68], lr: 0.01000	Loss 1.8408 (1.7932)	Prec@1 45.312 (45.056)	Prec@5 82.031 (81.365)
Epoch [4] Training Results: Prec@1 45.325 Prec@5 81.713             Loss 1.78517
Epoch [4] Training Class Recall: [0.813,0.673,0.408,0.027,0.000,0.000,0.000,0.000,0.000,0.000]

Epoch: [5][0/68], lr: 0.01000	Loss 1.8944 (1.8944)	Prec@1 42.969 (42.969)	Prec@5 73.438 (73.438)
Epoch: [5][10/68], lr: 0.01000	Loss 1.7117 (1.7259)	Prec@1 53.125 (48.722)	Prec@5 85.156 (83.097)
Epoch: [5][20/68], lr: 0.01000	Loss 1.8440 (1.7880)	Prec@1 43.750 (47.061)	Prec@5 80.469 (82.478)
Epoch: [5][30/68], lr: 0.01000	Loss 1.6451 (1.7939)	Prec@1 50.000 (46.245)	Prec@5 84.375 (81.804)
Epoch: [5][40/68], lr: 0.01000	Loss 1.8322 (1.7931)	Prec@1 43.750 (46.227)	Prec@5 79.688 (81.860)
