Epoch: [0][0/49], lr: 0.00200	Loss 2.7773 (2.7773)	Prec@1 11.719 (11.719)	Prec@5 48.438 (48.438)
Epoch: [0][10/49], lr: 0.00200	Loss 2.1160 (2.2071)	Prec@1 22.656 (27.486)	Prec@5 87.500 (76.491)
Epoch: [0][20/49], lr: 0.00200	Loss 1.8569 (2.0548)	Prec@1 35.938 (31.994)	Prec@5 85.938 (81.064)
Epoch: [0][30/49], lr: 0.00200	Loss 1.9941 (1.9929)	Prec@1 39.844 (34.249)	Prec@5 89.062 (82.258)
Epoch: [0][40/49], lr: 0.00200	Loss 1.7714 (1.9546)	Prec@1 42.188 (34.108)	Prec@5 87.500 (83.746)
Epoch [0] Training Results: Prec@1 35.273 Prec@5 84.636             Loss 1.91556
Epoch [0] Training Class Recall: [0.619,0.000,0.541,0.214,0.064,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/49], lr: 0.00400	Loss 1.6625 (1.6625)	Prec@1 38.281 (38.281)	Prec@5 87.500 (87.500)
Epoch: [1][10/49], lr: 0.00400	Loss 1.8609 (1.6872)	Prec@1 32.812 (41.335)	Prec@5 90.625 (90.554)
Epoch: [1][20/49], lr: 0.00400	Loss 1.7153 (1.6722)	Prec@1 42.969 (42.076)	Prec@5 92.188 (90.551)
Epoch: [1][30/49], lr: 0.00400	Loss 1.7118 (1.6695)	Prec@1 46.875 (42.843)	Prec@5 85.156 (90.524)
Epoch: [1][40/49], lr: 0.00400	Loss 1.8250 (1.6860)	Prec@1 40.625 (42.188)	Prec@5 89.062 (90.415)
Epoch [1] Training Results: Prec@1 41.706 Prec@5 90.247             Loss 1.69647
Epoch [1] Training Class Recall: [0.777,0.048,0.567,0.291,0.076,0.010,0.000,0.000,0.000,0.000]

Epoch: [2][0/49], lr: 0.00600	Loss 1.7198 (1.7198)	Prec@1 35.156 (35.156)	Prec@5 89.844 (89.844)
Epoch: [2][10/49], lr: 0.00600	Loss 1.7047 (1.7596)	Prec@1 45.312 (38.565)	Prec@5 90.625 (90.199)
Epoch: [2][20/49], lr: 0.00600	Loss 1.7748 (1.7278)	Prec@1 45.312 (41.481)	Prec@5 93.750 (89.881)
Epoch: [2][30/49], lr: 0.00600	Loss 1.6679 (1.7003)	Prec@1 39.062 (42.692)	Prec@5 91.406 (90.373)
Epoch: [2][40/49], lr: 0.00600	Loss 1.7072 (1.6843)	Prec@1 49.219 (43.407)	Prec@5 89.062 (90.720)
Epoch [2] Training Results: Prec@1 43.898 Prec@5 91.004             Loss 1.67785
Epoch [2] Training Class Recall: [0.732,0.110,0.638,0.396,0.005,0.000,0.000,0.000,0.000,0.000]

Epoch: [3][0/49], lr: 0.00800	Loss 1.7544 (1.7544)	Prec@1 42.969 (42.969)	Prec@5 89.844 (89.844)
Epoch: [3][10/49], lr: 0.00800	Loss 1.6194 (1.6199)	Prec@1 50.000 (47.585)	Prec@5 92.188 (92.401)
Epoch: [3][20/49], lr: 0.00800	Loss 1.5169 (1.6103)	Prec@1 41.406 (48.065)	Prec@5 94.531 (92.076)
Epoch: [3][30/49], lr: 0.00800	Loss 1.5153 (1.6045)	Prec@1 43.750 (47.303)	Prec@5 92.969 (92.288)
Epoch: [3][40/49], lr: 0.00800	Loss 1.5912 (1.6049)	Prec@1 48.438 (47.256)	Prec@5 92.969 (92.397)
Epoch [3] Training Results: Prec@1 47.106 Prec@5 92.326             Loss 1.60584
Epoch [3] Training Class Recall: [0.800,0.103,0.651,0.448,0.030,0.000,0.000,0.000,0.000,0.000]

Epoch: [4][0/49], lr: 0.01000	Loss 1.5359 (1.5359)	Prec@1 61.719 (61.719)	Prec@5 89.844 (89.844)
