Epoch: [0][0/219], lr: 0.00200	Loss 2.7964 (2.7964)	Prec@1 8.594 (8.594)	Prec@5 52.344 (52.344)
Epoch: [0][10/219], lr: 0.00200	Loss 2.1229 (2.4070)	Prec@1 23.438 (14.418)	Prec@5 72.656 (58.310)
Epoch: [0][20/219], lr: 0.00200	Loss 1.9569 (2.2473)	Prec@1 30.469 (19.122)	Prec@5 78.125 (67.671)
Epoch: [0][30/219], lr: 0.00200	Loss 1.9640 (2.1569)	Prec@1 32.031 (22.127)	Prec@5 81.250 (72.606)
Epoch: [0][40/219], lr: 0.00200	Loss 1.7412 (2.0754)	Prec@1 35.938 (24.733)	Prec@5 90.625 (75.877)
Epoch: [0][50/219], lr: 0.00200	Loss 1.5598 (1.9959)	Prec@1 45.312 (27.711)	Prec@5 93.750 (78.385)
Epoch: [0][60/219], lr: 0.00200	Loss 1.6224 (1.9288)	Prec@1 44.531 (30.392)	Prec@5 87.500 (80.443)
Epoch: [0][70/219], lr: 0.00200	Loss 1.4816 (1.8772)	Prec@1 54.688 (32.603)	Prec@5 90.625 (81.866)
Epoch: [0][80/219], lr: 0.00200	Loss 1.4439 (1.8291)	Prec@1 52.344 (34.433)	Prec@5 92.969 (83.025)
Epoch: [0][90/219], lr: 0.00200	Loss 1.4223 (1.7915)	Prec@1 45.312 (35.706)	Prec@5 94.531 (84.126)
Epoch: [0][100/219], lr: 0.00200	Loss 1.2660 (1.7569)	Prec@1 59.375 (37.090)	Prec@5 93.750 (85.032)
Epoch: [0][110/219], lr: 0.00200	Loss 1.3216 (1.7246)	Prec@1 53.125 (38.218)	Prec@5 95.312 (85.783)
Epoch: [0][120/219], lr: 0.00200	Loss 1.4236 (1.6972)	Prec@1 49.219 (39.050)	Prec@5 93.750 (86.512)
Epoch: [0][130/219], lr: 0.00200	Loss 1.3743 (1.6690)	Prec@1 50.781 (39.891)	Prec@5 94.531 (87.094)
Epoch: [0][140/219], lr: 0.00200	Loss 1.3987 (1.6440)	Prec@1 49.219 (40.697)	Prec@5 96.875 (87.666)
Epoch: [0][150/219], lr: 0.00200	Loss 1.5667 (1.6261)	Prec@1 39.062 (41.391)	Prec@5 92.969 (88.095)
Epoch: [0][160/219], lr: 0.00200	Loss 1.6644 (1.6114)	Prec@1 44.531 (42.027)	Prec@5 92.188 (88.451)
Epoch: [0][170/219], lr: 0.00200	Loss 1.3028 (1.5929)	Prec@1 53.125 (42.731)	Prec@5 95.312 (88.811)
Epoch: [0][180/219], lr: 0.00200	Loss 1.3178 (1.5734)	Prec@1 53.906 (43.513)	Prec@5 94.531 (89.088)
Epoch: [0][190/219], lr: 0.00200	Loss 1.0945 (1.5536)	Prec@1 61.719 (44.171)	Prec@5 97.656 (89.447)
Epoch: [0][200/219], lr: 0.00200	Loss 1.1497 (1.5386)	Prec@1 56.250 (44.698)	Prec@5 96.875 (89.696)
Epoch: [0][210/219], lr: 0.00200	Loss 1.1406 (1.5207)	Prec@1 58.594 (45.383)	Prec@5 95.312 (89.977)
Epoch [0] Training Results: Prec@1 45.861 Prec@5 90.182             Loss 1.50759
Epoch [0] Training Class Recall: [0.133,0.642,0.201,0.058,0.261,0.436,0.461,0.524,0.705,0.622]

Epoch: [1][0/219], lr: 0.00400	Loss 1.1505 (1.1505)	Prec@1 57.812 (57.812)	Prec@5 97.656 (97.656)
Epoch: [1][10/219], lr: 0.00400	Loss 1.1738 (1.2424)	Prec@1 57.031 (55.753)	Prec@5 93.750 (94.815)
Epoch: [1][20/219], lr: 0.00400	Loss 1.2975 (1.2346)	Prec@1 59.375 (56.101)	Prec@5 96.094 (95.015)
Epoch: [1][30/219], lr: 0.00400	Loss 1.2530 (1.2604)	Prec@1 52.344 (55.318)	Prec@5 96.094 (94.960)
Epoch: [1][40/219], lr: 0.00400	Loss 1.0718 (1.2488)	Prec@1 59.375 (55.716)	Prec@5 96.094 (95.160)
Epoch: [1][50/219], lr: 0.00400	Loss 1.0776 (1.2446)	Prec@1 63.281 (55.683)	Prec@5 96.094 (95.267)
Epoch: [1][60/219], lr: 0.00400	Loss 0.9235 (1.2251)	Prec@1 64.062 (56.391)	Prec@5 96.875 (95.377)
Epoch: [1][70/219], lr: 0.00400	Loss 1.0693 (1.2083)	Prec@1 64.062 (57.075)	Prec@5 96.875 (95.643)
Epoch: [1][80/219], lr: 0.00400	Loss 1.0651 (1.1947)	Prec@1 62.500 (57.581)	Prec@5 95.312 (95.814)
Epoch: [1][90/219], lr: 0.00400	Loss 1.2230 (1.1818)	Prec@1 56.250 (58.070)	Prec@5 96.094 (95.853)
Epoch: [1][100/219], lr: 0.00400	Loss 1.0704 (1.1686)	Prec@1 62.500 (58.470)	Prec@5 97.656 (96.032)
Epoch: [1][110/219], lr: 0.00400	Loss 1.1210 (1.1602)	Prec@1 63.281 (58.903)	Prec@5 94.531 (96.030)
Epoch: [1][120/219], lr: 0.00400	Loss 0.9997 (1.1506)	Prec@1 63.281 (59.259)	Prec@5 97.656 (96.132)
Epoch: [1][130/219], lr: 0.00400	Loss 1.2471 (1.1498)	Prec@1 58.594 (59.321)	Prec@5 94.531 (96.112)
Epoch: [1][140/219], lr: 0.00400	Loss 1.2671 (1.1480)	Prec@1 57.031 (59.392)	Prec@5 97.656 (96.160)
Epoch: [1][150/219], lr: 0.00400	Loss 1.0291 (1.1412)	Prec@1 60.938 (59.654)	Prec@5 96.875 (96.161)
Epoch: [1][160/219], lr: 0.00400	Loss 1.2525 (1.1348)	Prec@1 57.812 (59.889)	Prec@5 96.094 (96.162)
Epoch: [1][170/219], lr: 0.00400	Loss 0.8662 (1.1209)	Prec@1 70.312 (60.444)	Prec@5 96.094 (96.226)
Epoch: [1][180/219], lr: 0.00400	Loss 0.8668 (1.1119)	Prec@1 69.531 (60.743)	Prec@5 99.219 (96.297)
Epoch: [1][190/219], lr: 0.00400	Loss 0.9423 (1.0994)	Prec@1 67.969 (61.167)	Prec@5 98.438 (96.368)
Epoch: [1][200/219], lr: 0.00400	Loss 0.9099 (1.0886)	Prec@1 72.656 (61.575)	Prec@5 96.094 (96.455)
Epoch: [1][210/219], lr: 0.00400	Loss 0.8842 (1.0812)	Prec@1 74.219 (61.922)	Prec@5 96.875 (96.523)
Epoch [1] Training Results: Prec@1 62.154 Prec@5 96.554             Loss 1.07457
Epoch [1] Training Class Recall: [0.346,0.777,0.358,0.121,0.412,0.552,0.675,0.734,0.827,0.834]

Epoch: [2][0/219], lr: 0.00600	Loss 0.7743 (0.7743)	Prec@1 70.312 (70.312)	Prec@5 100.000 (100.000)
Epoch: [2][10/219], lr: 0.00600	Loss 0.8102 (0.8715)	Prec@1 71.094 (68.608)	Prec@5 97.656 (98.224)
Epoch: [2][20/219], lr: 0.00600	Loss 0.8456 (0.8802)	Prec@1 69.531 (68.378)	Prec@5 99.219 (98.251)
Epoch: [2][30/219], lr: 0.00600	Loss 1.0080 (0.9157)	Prec@1 67.188 (67.591)	Prec@5 96.094 (97.782)
Epoch: [2][40/219], lr: 0.00600	Loss 0.7303 (0.9108)	Prec@1 71.094 (67.626)	Prec@5 98.438 (97.694)
Epoch: [2][50/219], lr: 0.00600	Loss 0.8605 (0.9029)	Prec@1 73.438 (68.137)	Prec@5 99.219 (97.840)
Epoch: [2][60/219], lr: 0.00600	Loss 0.8295 (0.9084)	Prec@1 70.312 (68.122)	Prec@5 98.438 (97.874)
Epoch: [2][70/219], lr: 0.00600	Loss 0.7771 (0.9029)	Prec@1 76.562 (68.189)	Prec@5 96.875 (97.909)
Epoch: [2][80/219], lr: 0.00600	Loss 0.8517 (0.8880)	Prec@1 73.438 (68.721)	Prec@5 98.438 (98.013)
Epoch: [2][90/219], lr: 0.00600	Loss 0.7327 (0.8875)	Prec@1 70.312 (68.656)	Prec@5 98.438 (98.017)
Epoch: [2][100/219], lr: 0.00600	Loss 0.6944 (0.8780)	Prec@1 75.781 (69.114)	Prec@5 99.219 (98.043)
Epoch: [2][110/219], lr: 0.00600	Loss 0.8716 (0.8720)	Prec@1 71.875 (69.475)	Prec@5 99.219 (98.072)
Epoch: [2][120/219], lr: 0.00600	Loss 0.7780 (0.8661)	Prec@1 68.750 (69.622)	Prec@5 100.000 (98.069)
Epoch: [2][130/219], lr: 0.00600	Loss 0.7124 (0.8555)	Prec@1 78.125 (70.002)	Prec@5 98.438 (98.151)
